prefix,tag,count,total,avg_val,first_val,first_step,last_val,last_step,min_val,min_step,max_val,max_step
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/val/loss,1,0.42308664321899414,0.42308664321899414,0.42308664321899414,1,0.42308664321899414,1,0.42308664321899414,1,0.42308664321899414,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/val/loss,1,0.42308664321899414,0.42308664321899414,0.42308664321899414,1,0.42308664321899414,1,0.42308664321899414,1,0.42308664321899414,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu/util,9,2.13120000064373,0.23680000007152557,0.23680000007152557,1,0.23680000007152557,1,0.23680000007152557,1,0.23680000007152557,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu/util,9,2.13120000064373,0.23680000007152557,0.23680000007152557,1,0.23680000007152557,1,0.23680000007152557,1,0.23680000007152557,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu0/util,9,2.1330000311136246,0.2370000034570694,0.2370000034570694,1,0.2370000034570694,1,0.2370000034570694,1,0.2370000034570694,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu0/util,9,2.1330000311136246,0.2370000034570694,0.2370000034570694,1,0.2370000034570694,1,0.2370000034570694,1,0.2370000034570694,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu1/util,9,1.7009999603033066,0.1889999955892563,0.1889999955892563,1,0.1889999955892563,1,0.1889999955892563,1,0.1889999955892563,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu1/util,9,1.7009999603033066,0.1889999955892563,0.1889999955892563,1,0.1889999955892563,1,0.1889999955892563,1,0.1889999955892563,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu10/util,9,2.1240000128746033,0.23600000143051147,0.23600000143051147,1,0.23600000143051147,1,0.23600000143051147,1,0.23600000143051147,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu10/util,9,2.1240000128746033,0.23600000143051147,0.23600000143051147,1,0.23600000143051147,1,0.23600000143051147,1,0.23600000143051147,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,sys/cpu11/util,9,1.5569999366998672,0.17299999296665192,0.17299999296665192,1,0.17299999296665192,1,0.17299999296665192,1,0.17299999296665192,1
